name,code,short_code,format_family,default_inventory_tracking_mode,
Audio (format not specified),audio_format_not_specified,AU,"book, recorded_music",quantity,"book, recorded_music, video, game, periodical, stationery, gift, cafe, service, digital, other."
Audio CD,audio_cd,CD,"book, recorded_music",quantity,
Audio CD (MP3),audio_cd_mp3,CM,"book, recorded_music",quantity,
Bathbook,bathbook,BA,book,quantity,
Board Book,board_book,BB,book,quantity,
Board Game,board_game,BG,gift,quantity,
Bookmark,bookmark,BM,"stationery, gift",quantity,
Box or Slipcase,box_or_slipcase,BX,"book, recorded_music, video, stationery, gift",quantity,
Cards (flash or tarot),cards_flash_or_tarot,CS,"book, stationery, gift",quantity,
Clothing,clothing,CG,gift,quantity,
Comb Bound,comb_bound,CB,book,quantity,
Doll,doll,DO,gift,quantity,
E-Book,ebook,EB,digital,none,
Game,game,GM,gift,quantity,
Greeting Card,greeting_card,GC,stationery,quantity,
Harcover,harcover,HC,book,quantity,
Imitation Leather Binding,imitation_leather_binding,IL,"book, stationery",quantity,
Leather Bound,leather_bound,LT,"book, stationery",quantity,
Library Linding,library_linding,LB,book,quantity,
Loose-leaf,looseleaf,LL,book,quantity,
Mass Market (Paperback),mass_market_paperback,MM,book,quantity,
Mug,mug,MU,gift,quantity,
Other,other,OT,other,quantity,
Paperback,paperback,PB,book,quantity,
Pop Up,pop_up,PO,book,quantity,
Posters/Prints,postersprints,PS,"stationery, gift",quantity,
Puzzle,puzzle,PU,gift,quantity,
Ring Bound,ring_bound,RB,book,quantity,
Sheet Map,sheet_map,MP,"book, other",quantity,
Spiral Binding,spiral_binding,SP,book,quantity,
Tableware,tableware,TA,gift,quantity,
Totebag,totebag,TO,gift,quantity,
Toy,toy,TY,gift,quantity,
Trade Cloth (Hardcover),trade_cloth_hardcover,TC,book,quantity,
Trade Paper (Paperback),trade_paper_paperback,TP,book,quantity,
Vinyl Bound,vinyl_bound,VB,book,quantity,
Wall Calendar,wall_calendar,CA,book,quantity,
Box Calendar (Page-a-Day),box_calendar_pageaday,CP,book,quantity,
Vinyl Record,vinyl_record,VY,recorded_music,quantity,
DVD,dvd,DV,video,quantity,
Blu-ray,bluray,BR,video,quantity,
Digital Music,digital_music,EM,recorded_music,quantity,
Digital Video,digital_video,EV,video,quantity,
